Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Clark Haggans,Colorado State,OLB,76,253,,4.97,20,31.5,109,4.21,7.12
2000,Dante' Hall,Texas A&M,RB,68,191,,4.44,18,38.0,123,3.82,6.62
2000,James Hall,Michigan,DE,74,271,,5.03,,32.0,111,4.51,7.86
2000,Troy Hambrick,Savannah State,RB,73,237,,4.66,21,34.5,118,4.44,7.48
2000,Joe Hamilton,Georgia Tech,QB,70,192,18,4.81,,,106,,
2000,Thomas Hamner,Minnesota,RB,73,197,,4.50,17,32.0,125,4.07,6.97
2000,D'Andre Hardeman,Texas A&M,FB,70,238,,4.81,,30.0,109,4.36,7.27
2000,Antwan Harris,Virginia,CB,69,186,,4.34,16,39.0,121,4.01,6.75
2000,Jeff Harris,Georgia,CB,73,190,,4.53,,34.5,114,4.25,6.73
2000,Lloyd Harrison,North Carolina State,CB,70,190,,4.50,16,37.5,119,4.25,7.12
2000,Windrell Hayes,Southern California,WR,71,204,,4.50,,,,4.18,7.33
2000,Semisi Heimuli,Texas A&M,OG,74,312,,5.40,20,29.0,94,4.63,7.94
2000,Chris Hovan,Boston College,DT,75,305,,4.99,35,30.0,101,4.16,6.85
2000,Darren Howard,Kansas State,DE,76,281,,5.09,,29.0,108,4.32,7.00
2000,Ethan Howell,Oklahoma State,CB,71,186,,4.56,16,,,4.13,6.98
2000,Aaron Humphrey,Texas,DE,75,254,,5.10,21,34.0,119,,
2000,Todd Husak,Stanford,QB,75,216,39,5.20,,27.5,99,4.41,7.17
2000,Jabari Issa,Washington,DT,77,296,,5.05,19,31.5,105,4.72,7.69
2000,Al Jackson,Louisiana State,OG,75,304,,*5.20,19,,,,
2000,Darrell Jackson,Florida,WR,73,197,,4.56,,,,,
2000,Jarious Jackson,Notre Dame,QB,73,226,18,4.68,,,109,,
2000,Keith Jackson,Cheyney,DT,76,319,,5.20,28,,,,
2000,Marlion Jackson,Saginaw Valley State (MI),RB,73,242,,4.60,24,35.5,125,4.14,7.15
2000,Jeno James,Auburn,OG,75,320,,5.62,24,25.5,94,5.22,8.51
2000,Ronney Jenkins,Northern Arizona,RB,71,184,,4.50,18,,118,,
2000,Brandon Jennings,Texas A&M,FS,73,198,,4.51,16,38.0,123,4.14,6.91
2000,Ryan Johanningmeier,Colorado,OG,78,310,,5.25,,29.0,107,4.66,7.90
2000,Doug Johnson,Florida,QB,75,226,28,*4.95,,29.5,96,,
2000,Dwight Johnson,Baylor,DT,76,285,,4.97,26,28.0,105,4.76,7.51
2000,Eric Johnson,Nebraska,SS,73,215,,4.60,12,38.0,121,4.17,6.96
2000,Jerry Johnson,Florida State,DT,73,293,,5.03,26,28.5,102,,
2000,Matt Johnson,BYU,OG,76,345,,5.56,35,28.0,99,4.99,8.07
2000,Dhani Jones,Michigan,OLB,73,240,,4.68,29,,,,
2000,Fred Jones,Colorado,OLB,74,247,,4.95,17,32.0,113,4.39,7.27
2000,John Jones,Indiana (PA),TE,76,248,,4.63,13,38.5,125,4.43,7.33
2000,Leander Jordan,Indiana (PA),OG,76,330,,5.46,25,31.0,104,4.76,7.91
2000,Morgan Kane,Wake Forest,RB,73,221,,4.62,29,37.5,121,4.16,6.81
2000,Curtis Keaton,James Madison,RB,70,214,,4.41,23,41.5,131,3.93,6.82
2000,Tinker Keck,Cincinnati,SS,73,200,,4.55,15,36.5,120,4.31,6.96
2000,Sean Keenan,Williams College,QB,75,202,32,5.03,,25.5,95,4.41,7.21
2000,Ben Kelly,Colorado,CB,69,183,,4.53,17,36.0,116,3.95,6.63
2000,Dan Kendra,Florida State,FB,73,251,,4.84,24,35.0,119,,
2000,Kenoy Kennedy,Arkansas,FS,73,221,,4.71,8,33.5,113,4.38,7.08
2000,Sean Key,Florida State,FS,71,188,,4.65,,,,4.20,7.12
2000,Adrian Klemm,Hawaii,OT,76,307,,*4.98,24,,,,
2000,Andrew Kline,San Diego State,OG,74,305,,5.43,26,28.0,103,4.60,7.54
2000,Marcus Knight,Michigan,WR,73,180,,4.72,,28.5,106,4.38,7.11
2000,Noel LaMontagne,Virginia,OG,76,299,,*5.09,21,,,,
2000,Kareem Larrimore,West Texas A&M,CB,71,190,,4.42,,34.0,125,,
2000,Leif Larsen,Texas-El Paso,DT,77,300,,5.08,45,30.0,110,4.37,7.46
2000,Charles Lee,Central Florida,WR,74,202,,4.56,,35.5,125,4.25,7.30
2000,Tim Lester,Western Michigan,QB,73,202,26,5.02,,27.0,97,4.24,7.28
2000,Jamal Lewis,Tennessee,RB,73,240,,*4.58,23,,,,
2000,Al Lucas,Troy,DT,73,294,,5.00,28,36.0,108,4.56,7.44
2000,Anthony Lucas,Arkansas,WR,75,194,,4.53,,35.0,121,,
2000,Dustin Lyman,Wake Forest,ILB,76,259,,4.70,22,35.0,118,4.06,6.86
2000,David Macklin,Penn State,CB,69,194,,4.54,,37.5,120,4.09,6.90
2000,Anthony Malbrough,Texas Tech,CB,69,184,,4.44,20,35.5,117,4.00,6.73
2000,Tee Martin,Tennessee,QB,74,227,11,4.58,,34.5,113,,
2000,Terrance McCaskey,Mississippi State,TE,78,271,,5.00,,29.0,101,,
2000,Kevin McDougal,Colorado State,RB,73,206,,4.63,,32.0,108,4.12,7.08
2000,Stockar McDougle,Oklahoma,OT,77,361,,*5.50,24,,,,
2000,Chris McIntosh,Wisconsin,OT,79,315,,*5.39,28,,,,
2000,Damion McIntosh,Kansas State,OT,76,328,,5.31,23,26.0,97,4.71,7.72
2000,Alvin McKinley,Mississippi State,DT,76,289,,5.09,22,27.5,102,4.61,7.73
2000,Rondell Mealey,Louisiana State,RB,73,212,,4.69,,33.0,120,4.15,6.89
2000,Brad Meester,Northern Iowa,C,76,298,,5.12,25,34.0,110,4.43,7.46
2000,Rob Meier,Washington State,DE,77,284,,4.99,27,30.5,113,4.52,7.49
2000,Richard Mercier,Miami,OG,75,295,,5.39,18,26.0,97,4.78,7.84
2000,Keith Miller,California,ILB,73,246,,4.97,24,27.5,110,4.43,7.37
2000,Scottie Montgomery,Duke,WR,73,196,,4.57,,36.0,117,4.11,7.16
2000,Wendell Montgomery,Wyoming,WR,75,203,,4.81,,35.5,117,4.24,7.01
2000,Corey Moore,Virginia Tech,OLB,71,223,,4.60,21,,,,
2000,Michael Moore,Troy,OG,75,320,,5.45,34,24.5,94,5.06,8.37
2000,Muneer Moore,Richmond,WR,74,201,,4.52,,37.5,129,4.09,6.91
2000,Frank Moreau,Louisville,RB,73,231,,4.57,23,36.0,117,,
2000,Aric Morris,Michigan State,SS,70,211,,*4.56,24,,,,
2000,Rob Morris,BYU,ILB,74,250,,*4.77,18,33.0,113,4.17,6.93
2000,Sammy Morris,Texas Tech,FB,73,221,,4.65,23,37.5,117,4.21,7.05
2000,Sylvester Morris,Jackson State,WR,75,216,,4.60,,34.5,119,4.17,7.06
2000,Chad Morton,Southern California,RB,68,182,,4.50,18,36.0,121,,
2000,Bobby Myers,Wisconsin,FS,73,183,,4.56,,37.5,123,4.10,7.04
2000,Kualana Noa,Hawaii,OT,76,317,,5.35,27,25.5,98,4.74,7.82
2000,Dennis Northcutt,Arizona,WR,71,175,,4.43,,37.5,123,4.04,6.96
2000,Carlos Nuno,BYU,TE,76,263,,5.03,23,28.0,,,
2000,Andre O'Neal,Marshall,ILB,73,235,,*4.72,16,34.0,114,4.24,7.30
2000,Matt O'Neal,Oklahoma,C,75,277,,5.06,17,27.5,94,4.72,7.59
2000,Erik Olson,Colorado,SS,73,208,,4.63,17,35.0,115,4.21,6.81
2000,Chad Pennington,Marshall,QB,76,229,25,4.81,,33.5,111,4.16,7.12
2000,Mareno Philyaw,Troy,WR,74,205,,4.66,,39.5,129,4.13,6.93
